                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94393,                0.92951,                 1.1309,                0.89132,                0.89495,                0.94525,                0.71971,                 0.9167,                0.79641,                 1.1672,             0.00096215,             0.00096215,             0.00096215
                     36,                0.95284,                0.88775,                 1.1118,                 0.9321,                0.86759,                0.95347,                0.72297,                0.95263,                0.75988,                 1.2081,               0.000948,               0.000948,               0.000948
                     37,                0.90071,                0.87536,                 1.1079,                0.95403,                0.85877,                0.94047,                0.71967,                0.88392,                0.78974,                 1.1534,             0.00093385,             0.00093385,             0.00093385
                     38,                0.91176,                0.87138,                 1.1165,                0.96031,                0.86549,                0.96228,                0.74531,                0.86431,                0.70833,                 1.1421,              0.0009197,              0.0009197,              0.0009197
                     39,                 0.8316,                0.81992,                 1.0653,                0.88074,                0.88524,                0.93703,                0.71928,                0.88208,                0.80461,                  1.151,             0.00090556,             0.00090556,             0.00090556
                     40,                0.86057,                 0.8692,                 1.0921,                0.87486,                0.92323,                0.96006,                0.75147,                 0.8684,                0.73191,                 1.1523,             0.00089141,             0.00089141,             0.00089141
                     41,                0.87107,                0.86126,                 1.1043,                0.83825,                0.88552,                 0.9406,                0.73475,                0.86544,                0.81943,                   1.14,             0.00087726,             0.00087726,             0.00087726
                     42,                0.84629,                0.84144,                 1.0791,                0.90782,                0.90308,                0.97457,                0.76672,                0.83259,                0.69787,                 1.1246,             0.00086312,             0.00086312,             0.00086312
                     43,                 0.8364,                0.81458,                 1.0603,                0.85476,                0.88618,                0.93932,                 0.7461,                0.81783,                0.77718,                 1.1026,             0.00084897,             0.00084897,             0.00084897
                     44,                0.82798,                0.83003,                  1.083,                0.92704,                0.90873,                0.94764,                0.73912,                0.85298,                0.74177,                 1.1313,             0.00083482,             0.00083482,             0.00083482
                     45,                0.81632,                0.81273,                  1.057,                0.85753,                0.88505,                0.94254,                0.75042,                0.79647,                 0.7834,                 1.0862,             0.00082067,             0.00082067,             0.00082067
                     46,                0.83592,                0.77241,                 1.0838,                0.82197,                0.92902,                0.94898,                0.75104,                0.84327,                 0.7227,                 1.1106,             0.00080653,             0.00080653,             0.00080653
                     47,                0.85479,                0.79273,                 1.0796,                 0.9052,                0.82694,                0.93508,                0.72844,                0.89827,                0.71399,                 1.1579,             0.00079238,             0.00079238,             0.00079238
                     48,                0.87126,                0.79287,                 1.0999,                 0.8905,                0.90448,                0.95642,                0.71645,                0.92661,                 0.6891,                 1.1899,             0.00077823,             0.00077823,             0.00077823
                     49,                 0.8167,                0.76701,                 1.0846,                0.89835,                0.80302,                 0.9352,                0.71336,                0.87263,                0.75834,                  1.168,             0.00076409,             0.00076409,             0.00076409
                     50,                0.83246,                0.77986,                 1.0623,                0.91052,                0.92662,                0.97918,                0.78303,                0.83002,                0.62732,                 1.1397,             0.00074994,             0.00074994,             0.00074994
                     51,                0.84034,                0.79021,                  1.099,                 0.9244,                0.92201,                0.96591,                0.76883,                0.81095,                0.66289,                 1.1215,             0.00073579,             0.00073579,             0.00073579
                     52,                0.79729,                0.73277,                 1.0387,                0.88677,                0.95412,                0.96977,                0.77654,                0.78137,                0.62356,                 1.1073,             0.00072164,             0.00072164,             0.00072164
                     53,                0.79449,                0.70557,                  1.066,                0.87205,                0.95505,                0.96083,                0.76889,                0.77211,                 0.6422,                 1.0882,              0.0007075,              0.0007075,              0.0007075
                     54,                0.80436,                0.75628,                 1.0749,                0.94734,                0.92509,                0.97008,                0.76607,                0.80435,                0.60398,                 1.1123,             0.00069335,             0.00069335,             0.00069335
                     55,                0.79174,                0.75288,                 1.0448,                0.91269,                0.98174,                0.97322,                0.79655,                 0.7775,                 0.5893,                 1.0828,              0.0006792,              0.0006792,              0.0006792
                     56,                0.78537,                0.71267,                  1.048,                 0.7747,                0.96166,                0.95182,                0.74987,                0.77722,                0.69343,                  1.078,             0.00066506,             0.00066506,             0.00066506
                     57,                0.82872,                0.73664,                 1.0628,                0.90545,                0.90204,                0.96335,                0.75772,                0.81066,                0.66774,                 1.1193,             0.00065091,             0.00065091,             0.00065091
                     58,                0.77671,                0.71857,                 1.0549,                0.85688,                0.98295,                 0.9779,                 0.7789,                0.78739,                0.60804,                 1.0907,             0.00063676,             0.00063676,             0.00063676
                     59,                0.77814,                0.65051,                  1.028,                0.91271,                0.97222,                0.98077,                0.77059,                0.78413,                0.56018,                 1.0801,             0.00062262,             0.00062262,             0.00062262
                     60,                0.77154,                0.67482,                 1.0343,                0.86505,                0.95108,                0.96451,                0.77691,                0.79925,                0.60208,                 1.1067,             0.00060847,             0.00060847,             0.00060847
                     61,                0.76958,                0.66041,                 1.0571,                0.88796,                0.95753,                0.97152,                 0.7759,                0.79465,                0.58534,                 1.0989,             0.00059432,             0.00059432,             0.00059432
                     62,                0.72124,                0.64065,                  1.021,                0.91499,                0.96765,                0.97653,                0.79196,                0.75511,                0.55181,                 1.0776,             0.00058017,             0.00058017,             0.00058017
                     63,                0.73943,                0.64546,                 1.0192,                0.93637,                 0.9665,                0.97344,                0.78952,                0.80317,                0.57263,                 1.0946,             0.00056603,             0.00056603,             0.00056603
                     64,                0.72095,                0.61459,                 1.0046,                0.90093,                0.96085,                0.97168,                0.79668,                0.77689,                0.58439,                 1.0594,             0.00055188,             0.00055188,             0.00055188
                     65,                 0.7275,                0.61978,                 1.0241,                 0.9464,                0.93907,                0.97248,                0.78895,                0.79157,                0.55686,                 1.0746,             0.00053773,             0.00053773,             0.00053773
                     66,                0.71506,                0.59051,                0.99943,                0.93724,                 0.9458,                0.96627,                0.76118,                0.83196,                0.56869,                 1.1258,             0.00052359,             0.00052359,             0.00052359
                     67,                0.76397,                0.64161,                 1.0281,                0.91624,                0.95779,                0.96658,                0.76704,                0.85705,                0.59847,                 1.1389,             0.00050944,             0.00050944,             0.00050944
                     68,                0.73298,                 0.6208,                 1.0282,                0.90986,                0.90847,                0.96171,                0.76233,                 0.8331,                0.62794,                 1.1123,             0.00049529,             0.00049529,             0.00049529
                     69,                0.73643,                 0.6504,                 1.0281,                0.90987,                0.95661,                0.97077,                0.77884,                0.79884,                0.57232,                 1.0677,             0.00048114,             0.00048114,             0.00048114
                     70,                 0.7603,                0.61698,                 1.0362,                0.93594,                0.95833,                0.96979,                0.78393,                0.78763,                0.55788,                 1.0883,               0.000467,               0.000467,               0.000467
                     71,                0.73859,                0.63742,                 1.0389,                0.92733,                 0.9623,                0.97096,                0.79738,                0.73737,                0.53977,                 1.0577,             0.00045285,             0.00045285,             0.00045285
                     72,                0.73253,                0.59975,                 1.0335,                0.85604,                 0.9217,                0.93769,                0.76117,                   0.75,                0.62329,                 1.0555,              0.0004387,              0.0004387,              0.0004387
                     73,                0.66811,                0.58026,                0.99114,                0.90555,                0.93926,                0.98008,                0.79351,                0.77062,                0.55648,                 1.0725,             0.00042456,             0.00042456,             0.00042456
                     74,                0.70588,                0.57203,                 1.0246,                0.91071,                0.88306,                0.96988,                0.78997,                0.76036,                0.56849,                 1.0661,             0.00041041,             0.00041041,             0.00041041
                     75,                0.71275,                0.59367,                 1.0109,                0.90853,                0.97313,                0.97411,                0.78819,                0.78916,                 0.5306,                 1.0846,             0.00039626,             0.00039626,             0.00039626
                     76,                0.66737,                0.52747,                0.98953,                0.95241,                0.96531,                0.98732,                0.80731,                0.78677,                0.51027,                 1.0843,             0.00038211,             0.00038211,             0.00038211
                     77,                 0.6812,                0.55926,                0.99706,                0.96195,                0.94444,                0.98886,                0.79651,                0.81099,                0.49947,                 1.0969,             0.00036797,             0.00036797,             0.00036797
                     78,                0.71731,                0.56287,                 1.0217,                0.92516,                0.96619,                0.98883,                0.80848,                0.75451,                0.48121,                 1.0543,             0.00035382,             0.00035382,             0.00035382
                     79,                0.68928,                0.56257,                 1.0113,                0.94326,                0.94059,                0.98596,                0.81272,                0.75392,                0.49132,                 1.0494,             0.00033967,             0.00033967,             0.00033967
                     80,                0.69441,                0.55825,                0.99967,                0.88843,                0.97421,                0.98283,                0.81863,                0.74541,                0.48847,                 1.0517,             0.00032553,             0.00032553,             0.00032553
                     81,                0.68376,                0.54063,                0.99559,                0.91967,                0.96748,                0.98304,                0.81289,                 0.7213,                0.48738,                 1.0443,             0.00031138,             0.00031138,             0.00031138
                     82,                0.66463,                0.53576,                0.99187,                0.91114,                0.97172,                0.98671,                 0.8333,                0.72816,                0.49415,                 1.0387,             0.00029723,             0.00029723,             0.00029723
                     83,                0.64544,                0.52278,                0.97453,                0.92765,                0.96062,                0.98497,                0.82859,                0.71729,                0.47803,                 1.0338,             0.00028308,             0.00028308,             0.00028308
                     84,                0.61161,                0.51081,                0.96688,                0.92607,                0.97176,                0.98563,                0.82134,                0.72557,                0.47523,                 1.0359,             0.00026894,             0.00026894,             0.00026894
                     85,                0.62352,                  0.487,                0.97083,                0.93334,                0.97389,                0.98848,                0.81888,                0.73034,                0.47673,                 1.0402,             0.00025479,             0.00025479,             0.00025479
                     86,                0.63795,                0.52134,                0.97451,                0.94597,                0.94391,                0.98762,                0.81743,                0.73717,                0.49212,                 1.0538,             0.00024064,             0.00024064,             0.00024064
                     87,                0.63691,                0.50433,                0.98512,                 0.9319,                 0.9845,                0.98946,                0.81455,                0.74462,                0.49285,                 1.0595,              0.0002265,              0.0002265,              0.0002265
                     88,                0.64156,                0.49276,                0.97536,                0.92545,                0.98597,                 0.9862,                0.81073,                0.73493,                 0.4719,                 1.0578,             0.00021235,             0.00021235,             0.00021235
                     89,                0.64283,                0.52183,                 1.0036,                0.94811,                0.98586,                 0.9847,                0.81219,                0.73885,                0.48078,                 1.0491,              0.0001982,              0.0001982,              0.0001982
                     90,                 0.6306,                0.50984,                0.98788,                0.91166,                0.97421,                0.98127,                0.82348,                0.72912,                0.47438,                 1.0344,             0.00018406,             0.00018406,             0.00018406
                     91,                0.52965,                0.41137,                0.90092,                0.92307,                0.95852,                0.98521,                0.81659,                0.73641,                0.48144,                 1.0395,             0.00016991,             0.00016991,             0.00016991
                     92,                0.51765,                0.39804,                0.91261,                 0.8893,                 0.9839,                0.98479,                0.80669,                0.75463,                0.48736,                 1.0456,             0.00015576,             0.00015576,             0.00015576
                     93,                0.51754,                0.37403,                0.89225,                0.91296,                0.98069,                0.98521,                0.81696,                 0.7277,                 0.4861,                 1.0343,             0.00014161,             0.00014161,             0.00014161
                     94,                0.50421,                0.37474,                0.89316,                0.91382,                0.98155,                0.98489,                0.81765,                 0.7168,                0.48983,                 1.0254,             0.00012747,             0.00012747,             0.00012747
                     95,                0.49574,                0.35662,                0.89157,                0.91677,                0.98165,                0.98655,                0.81282,                0.72488,                0.49023,                 1.0334,             0.00011332,             0.00011332,             0.00011332
                     96,                 0.4871,                 0.3616,                0.85874,                0.92062,                0.97874,                 0.9855,                0.82128,                0.73385,                0.49503,                  1.044,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.49449,                 0.3728,                  0.889,                0.93575,                0.96392,                0.98412,                0.81382,                0.73249,                0.49142,                 1.0469,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.48642,                0.35761,                0.88896,                0.93854,                0.96212,                0.98368,                0.81363,                0.73289,                0.49269,                 1.0435,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 0.4686,                0.34864,                0.88435,                0.93715,                0.96075,                0.98309,                0.80974,                 0.7386,                0.49277,                 1.0462,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.47004,                0.34322,                0.88297,                0.93506,                0.95968,                0.98195,                0.81592,                0.73033,                0.49359,                 1.0387,             4.2584e-05,             4.2584e-05,             4.2584e-05
